lib_etendu,bilan,montant_signe,signe,num_oper,diff_ope_val
1362,21110,-99.0,1,1936,4.0
5224,21110,-200.0,1,3318,1.0
4241,21110,1900.0,0,7751,-1.0
678,21110,-1000.0,1,2447,4.0
753,21110,-2700.0,1,7223,4.0
2461,21110,-1600.0,1,3097,0.0
5067,21110,-6568.84,1,1525,1.0
4539,21110,-149.0,1,3207,0.0
2117,21110,-10.02,1,6847,5.0
5224,21110,-2000.0,1,6322,1.0
4040,21110,5000.0,0,5982,0.0
2325,21110,-1150.0,1,460,0.0
4493,21110,-1100.0,1,6497,4.0
635,21110,56.0,0,2911,-1.0
1362,21110,-216.2,1,2988,4.0
2765,21110,-2000.0,1,6582,4.0
679,21110,-1644.28,1,2792,0.0
4167,21110,-6500.0,1,172,1.0
3380,21110,-15290.43,1,2536,1.0
184,21110,-5000.0,1,1406,1.0
5224,21110,-300.0,1,4023,1.0
3447,21110,8535.47,0,3117,-1.0
4099,21110,-1000.0,1,1474,4.0
2356,21110,-5.5,1,7751,0.0
3437,21110,-3000.0,1,4373,1.0
2869,21110,-100.0,1,662,0.0
2744,21110,-995.0,1,7635,1.0
2909,21110,-600.0,1,5652,4.0
96,21110,-20.0,1,5652,4.0
186,21110,10000.0,0,7751,-1.0
4768,21110,4000.0,0,7751,-1.0
5067,21110,-15741.69,1,3455,1.0
556,21110,-10000.0,1,6073,0.0
556,21110,-2000.0,1,4071,0.0
3631,21110,26000.0,0,3473,-1.0
3631,21110,2056.0,0,171,-1.0
5115,21110,1000.0,0,3411,-1.0
5067,21110,-5855.23,1,5791,1.0
5224,21110,-300.0,1,1987,1.0
4754,21110,5000.0,0,2093,0.0
3429,21110,-500.0,1,7001,4.0
2683,21110,-2000.0,1,4099,4.0
1671,21110,-5000.0,1,4477,1.0
4526,21110,-13900.0,1,6296,1.0
1454,21110,-300.0,1,3744,0.0
3447,21110,19647.23,0,7135,-1.0
2858,21110,-9000.0,1,2989,1.0
614,21110,-5000.0,1,6162,0.0
2384,21110,7300.0,0,7346,-1.0
2523,21110,-10.0,1,1844,4.0
552,21110,-4000.0,1,2603,4.0
4391,21110,-12.43,1,3311,4.0
801,21110,-2000.0,1,6354,1.0
4755,21110,-1200.0,1,6605,4.0
864,21110,-2000.0,1,5496,4.0
1752,21110,-500.0,1,1354,4.0
1298,21110,-3000.0,1,7470,0.0
4539,21110,-199.0,1,1119,0.0
1237,21110,80000.0,0,1584,-1.0
957,21110,-1505.5,1,4062,4.0
957,21110,-1505.5,1,5899,4.0
1225,21110,1000.0,0,6620,0.0
3647,21110,-300.0,1,5597,4.0
3856,21110,-4000.0,1,6730,4.0
679,21110,-1070.29,1,7612,0.0
5127,21110,200.0,0,7751,-1.0
1692,21110,1924.0,0,4217,-1.0
5106,21110,-3000.0,1,3701,4.0
2409,21110,-2000.0,1,7478,4.0
5224,21110,-200.0,1,3776,1.0
2244,21110,400.0,0,7751,-1.0
1077,21110,520.0,0,843,-1.0
941,21110,-2000.0,1,5175,4.0
1261,21110,1000.0,0,3345,-1.0
4531,21110,250.0,0,694,-1.0
1116,21110,-500.0,1,1148,0.0
2466,21110,-250.0,1,1313,0.0
2523,21110,-10.0,1,3914,4.0
1297,21110,-1000.0,1,7097,4.0
1265,21110,-400.0,1,1364,4.0
2405,21110,823053.0,0,1518,0.0
1537,21110,-1077.0,1,898,1.0
2374,21110,-1500.0,1,5216,0.0
2523,21110,-50.0,1,1627,4.0
1315,21110,-10000.0,1,1284,0.0
177,21110,-1000.0,1,7557,1.0
957,21110,-1505.5,1,5670,4.0
2037,21110,4600.0,0,1935,-1.0
99,21110,700.0,0,3665,-1.0
2143,21110,3300.0,0,2695,-1.0
3784,21110,900.0,0,6522,-1.0
1523,21110,1400.0,0,2718,-1.0
3784,21110,100.0,0,5255,-1.0
3342,21110,3000.0,0,7751,-1.0
4769,21110,10000.0,0,7751,-1.0
4584,21110,-2000.0,1,4399,0.0
1509,21110,-823.0,1,5467,1.0
3849,21110,-1050.0,1,7751,1.0
3989,21110,-200.0,1,1416,4.0
3989,21110,-200.0,1,3036,4.0
1454,21110,-300.0,1,1075,0.0
1454,21110,-300.0,1,5015,0.0
4222,21110,20000.0,0,1570,0.0
4274,21110,-270.35,1,4519,1.0
2016,21110,-5000.0,1,6281,4.0
3447,21110,1622.02,0,4832,-1.0
2984,21110,-6000.0,1,2235,0.0
3800,21110,-7000.0,1,2377,0.0
2981,21110,1000.0,0,5385,-1.0
4169,21110,-295.0,1,4639,1.0
1347,21110,-22.0,1,6001,0.0
4070,21110,-50.0,1,7395,4.0
5067,21110,-3100.19,1,484,1.0
4539,21110,-199.0,1,6867,0.0
4539,21110,-99.0,1,7100,0.0
4539,21110,-199.0,1,193,0.0
4784,21110,-500.0,1,6001,0.0
1768,21110,-3.03,1,5029,1.0
352,21110,-25.26,1,7533,1.0
3115,21110,-360.0,1,416,1.0
5027,21110,31725.0,0,6368,0.0
5103,21110,-2000.0,1,2476,0.0
5103,21110,-2000.0,1,6579,0.0
5103,21110,-2000.0,1,7190,0.0
4873,21110,-500.0,1,6836,4.0
4233,21110,-600.0,1,7498,4.0
2902,21110,4000.0,0,5336,-1.0
3447,21110,2448.95,0,7364,-1.0
2356,21110,-5.5,1,7751,0.0
5067,21110,-3950.8,1,2180,1.0
4132,21110,-1000.0,1,5350,1.0
3447,21110,4426.84,0,518,-1.0
